DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester,WeekNumberOfMonth,FiscalYearRange,fiscal month number
20150119,19 January 2015,2,MONDAY,19,19,4,JANUARY,1,1,2015,1,4,2015,2,3,2014-2015,10
20140119,19 January 2014,1,SUNDAY,19,19,4,JANUARY,1,1,2014,1,4,2014,2,3,2013-2014,10
20180119,19 January 2018,6,FRIDAY,19,19,3,JANUARY,1,1,2018,1,4,2018,2,3,2017-2018,10
20230219,19 February 2023,1,SUNDAY,19,50,8,FEBRUARY,2,1,2023,1,4,2023,2,3,2022-2023,11
20220119,19 January 2022,4,WEDNESDAY,19,19,4,JANUARY,1,1,2022,1,4,2022,2,3,2021-2022,10
20130319,19 March 2013,3,TUESDAY,19,78,12,MARCH,3,1,2013,1,4,2013,2,3,2012-2013,12
20220219,19 February 2022,7,SATURDAY,19,50,8,FEBRUARY,2,1,2022,1,4,2022,2,3,2021-2022,11
20250119,19 January 2025,1,SUNDAY,19,19,4,JANUARY,1,1,2025,1,4,2025,2,3,2024-2025,10
20200319,19 March 2020,5,THURSDAY,19,79,12,MARCH,3,1,2020,1,4,2020,2,3,2019-2020,12
20170219,19 February 2017,1,SUNDAY,19,50,8,FEBRUARY,2,1,2017,1,4,2017,2,3,2016-2017,11
20240319,19 March 2024,3,TUESDAY,19,79,12,MARCH,3,1,2024,1,4,2024,2,3,2023-2024,12
20240119,19 January 2024,6,FRIDAY,19,19,3,JANUARY,1,1,2024,1,4,2024,2,3,2023-2024,10
20140118,18 January 2014,7,SATURDAY,18,18,3,JANUARY,1,1,2014,1,4,2014,2,3,2013-2014,10
20210218,18 February 2021,5,THURSDAY,18,49,8,FEBRUARY,2,1,2021,1,4,2021,2,3,2020-2021,11
20220318,18 March 2022,6,FRIDAY,18,77,12,MARCH,3,1,2022,1,4,2022,2,3,2021-2022,12
20130318,18 March 2013,2,MONDAY,18,77,12,MARCH,3,1,2013,1,4,2013,2,3,2012-2013,12
20250118,18 January 2025,7,SATURDAY,18,18,3,JANUARY,1,1,2025,1,4,2025,2,3,2024-2025,10
20210318,18 March 2021,5,THURSDAY,18,77,12,MARCH,3,1,2021,1,4,2021,2,3,2020-2021,12
20200318,18 March 2020,4,WEDNESDAY,18,78,12,MARCH,3,1,2020,1,4,2020,2,3,2019-2020,12
20240318,18 March 2024,2,MONDAY,18,78,12,MARCH,3,1,2024,1,4,2024,2,3,2023-2024,12
20140218,18 February 2014,3,TUESDAY,18,49,8,FEBRUARY,2,1,2014,1,4,2014,2,3,2013-2014,11
20150218,18 February 2015,4,WEDNESDAY,18,49,8,FEBRUARY,2,1,2015,1,4,2015,2,3,2014-2015,11
20130218,18 February 2013,2,MONDAY,18,49,8,FEBRUARY,2,1,2013,1,4,2013,2,3,2012-2013,11
20180318,18 March 2018,1,SUNDAY,18,77,12,MARCH,3,1,2018,1,4,2018,2,3,2017-2018,12
20250318,18 March 2025,3,TUESDAY,18,77,12,MARCH,3,1,2025,1,4,2025,2,3,2024-2025,12
20180218,18 February 2018,1,SUNDAY,18,49,8,FEBRUARY,2,1,2018,1,4,2018,2,3,2017-2018,11
20210118,18 January 2021,2,MONDAY,18,18,4,JANUARY,1,1,2021,1,4,2021,2,3,2020-2021,10
20150118,18 January 2015,1,SUNDAY,18,18,4,JANUARY,1,1,2015,1,4,2015,2,3,2014-2015,10
20230318,18 March 2023,7,SATURDAY,18,77,11,MARCH,3,1,2023,1,4,2023,2,3,2022-2023,12
20200218,18 February 2020,3,TUESDAY,18,49,8,FEBRUARY,2,1,2020,1,4,2020,2,3,2019-2020,11
20150318,18 March 2015,4,WEDNESDAY,18,77,12,MARCH,3,1,2015,1,4,2015,2,3,2014-2015,12
20160218,18 February 2016,5,THURSDAY,18,49,8,FEBRUARY,2,1,2016,1,4,2016,2,3,2015-2016,11
20220218,18 February 2022,6,FRIDAY,18,49,8,FEBRUARY,2,1,2022,1,4,2022,2,3,2021-2022,11
20230218,18 February 2023,7,SATURDAY,18,49,7,FEBRUARY,2,1,2023,1,4,2023,2,3,2022-2023,11
20250218,18 February 2025,3,TUESDAY,18,49,8,FEBRUARY,2,1,2025,1,4,2025,2,3,2024-2025,11
20190218,18 February 2019,2,MONDAY,18,49,8,FEBRUARY,2,1,2019,1,4,2019,2,3,2018-2019,11
20180118,18 January 2018,5,THURSDAY,18,18,3,JANUARY,1,1,2018,1,4,2018,2,3,2017-2018,10
